,Saison,Team,Wert
344,2016,1860 München,25.35
345,2016,1.FC Nürnberg,22.1
346,2016,FC St. Pauli,21.83
347,2016,Union Berlin,20.63
348,2016,1.FC K'lautern,20.4
349,2016,Karlsruher SC,18.8
350,2016,F. Düsseldorf,18.7
351,2016,E. Braunschweig,18.65
352,2016,Greuther Fürth,17.3
353,2016,VfL Bochum,15.18
354,2016,Arm. Bielefeld,14.05
355,2016,1.FC Heidenheim,13.05
356,2016,SV Sandhausen,12.35
357,2016,Dynamo Dresden,9.65
358,2016,Würzb. Kickers,9.5
359,2016,Erzgebirge Aue,8.48
360,2017,FC Ingolstadt,33.18
361,2017,Union Berlin,22.43
362,2017,Darmstadt 98,21.78
363,2017,1.FC Nürnberg,21.13
364,2017,E. Braunschweig,20.7
365,2017,F. Düsseldorf,20.18
366,2017,Dynamo Dresden,18.85
367,2017,Greuther Fürth,18.13
368,2017,1.FC K'lautern,17.88
369,2017,VfL Bochum,17.75
370,2017,FC St. Pauli,16.9
371,2017,Arm. Bielefeld,14.08
372,2017,1.FC Heidenheim,13.85
373,2017,SV Sandhausen,13.03
374,2017,Erzgebirge Aue,11.4
375,2017,Holstein Kiel,9.7
376,2017,MSV Duisburg,8.9
377,2017,Jahn Regensburg,7.13
378,2018,1.FC Köln,74.9
379,2018,Hamburger SV,56.95
380,2018,FC Ingolstadt,22.2
381,2018,Union Berlin,20.5
382,2018,Dynamo Dresden,19.83
383,2018,Arm. Bielefeld,18.75
384,2018,FC St. Pauli,16.95
385,2018,VfL Bochum,16.4
386,2018,Holstein Kiel,15.85
387,2018,Darmstadt 98,15.35
388,2018,1.FC Heidenheim,14.45
389,2018,SV Sandhausen,14.3
390,2018,MSV Duisburg,14.15
391,2018,Greuther Fürth,14.1
392,2018,Erzgebirge Aue,12.45
393,2018,Jahn Regensburg,12.15
394,2018,SC Paderborn,10.6
395,2018,1.FC Magdeburg,10.55
396,2008,VfR Aalen,8.55
397,2008,Carl Zeiss Jena,6.55
398,2008,F. Düsseldorf,6.2
399,2008,SC Paderborn,5.85
400,2008,Dynamo Dresden,5.8
401,2008,K. Offenbach,5.6
402,2008,Erzgebirge Aue,5.58
403,2008,Wuppertaler SV,4.93
404,2008,E. Braunschweig,4.9
405,2008,Unterhaching,4.83
406,2008,Union Berlin,4.68
407,2008,SV Sandhausen,4.4
408,2008,W. Bremen II,4.4
409,2008,W. Burghausen,4.23
410,2008,Stuttg. Kickers,3.93
411,2008,Rot-Weiß Erfurt,3.83
412,2008,Kickers Emden,3.8
413,2008,Stuttgart II,3.25
414,2008,Jahn Regensburg,2.78
415,2008,B. München II,1.8
416,2009,B. München II,28.53
417,2009,B. Dortmund II,23.58
418,2009,Stuttgart II,10.3
419,2009,FC Ingolstadt,7.98
420,2009,K. Offenbach,7.18
421,2009,VfL Osnabrück,6.88
422,2009,SV Sandhausen,6.8
423,2009,Wehen Wiesbaden,6.43
424,2009,Dynamo Dresden,6.0
425,2009,Erzgebirge Aue,5.43
426,2009,Rot-Weiß Erfurt,5.4
427,2009,Wuppertaler SV,5.3
428,2009,Holstein Kiel,5.25
429,2009,Carl Zeiss Jena,5.18
430,2009,Unterhaching,5.05
431,2009,Jahn Regensburg,4.5
432,2009,E. Braunschweig,4.38
433,2009,W. Bremen II,4.23
434,2009,W. Burghausen,3.43
435,2009,1.FC Heidenheim,3.26
436,2010,B. München II,15.18
437,2010,W. Bremen II,8.43
438,2010,Wehen Wiesbaden,8.2
439,2010,K. Offenbach,7.03
440,2010,Stuttgart II,6.83
441,2010,Unterhaching,6.78
442,2010,SV Sandhausen,6.68
443,2010,Hansa Rostock,6.43
444,2010,Dynamo Dresden,6.05
445,2010,1.FC Heidenheim,6.03
446,2010,Rot-Weiß Erfurt,5.28
447,2010,VfR Aalen,5.05
448,2010,E. Braunschweig,5.03
449,2010,Carl Zeiss Jena,4.78
450,2010,W. Burghausen,4.7
451,2010,Jahn Regensburg,4.33
452,2010,Rot Weiss Ahlen,4.0
453,2010,Saarbrücken,3.63
454,2010,TuS Koblenz,3.18
455,2010,Babelsberg 03,2.5
456,2011,W. Bremen II,11.28
457,2011,Stuttgart II,8.73
458,2011,Wehen Wiesbaden,8.33
459,2011,1.FC Heidenheim,8.3
460,2011,VfL Osnabrück,7.03
461,2011,K. Offenbach,6.25
462,2011,SV Sandhausen,6.23
463,2011,Preußen Münster,6.13
464,2011,Arm. Bielefeld,5.95
465,2011,W. Burghausen,4.95
466,2011,Saarbrücken,4.85
467,2011,Carl Zeiss Jena,4.6
468,2011,Chemnitzer FC,4.43
469,2011,VfR Aalen,4.33
470,2011,Jahn Regensburg,4.0
471,2011,Rot-Weiß Erfurt,3.95
472,2011,RW Oberhausen,3.83
473,2011,Darmstadt 98,3.73
474,2011,Unterhaching,3.63
475,2011,Babelsberg 03,3.05
476,2012,B. Dortmund II,23.83
477,2012,Stuttgart II,9.58
478,2012,Karlsruher SC,8.03
479,2012,Hansa Rostock,8.03
480,2012,1.FC Heidenheim,6.98
481,2012,VfL Osnabrück,6.73
482,2012,Arm. Bielefeld,6.43
483,2012,Chemnitzer FC,6.23
484,2012,Alem. Aachen,5.88
485,2012,K. Offenbach,5.68
486,2012,Hallescher FC,5.58
487,2012,Wehen Wiesbaden,5.1
488,2012,Rot-Weiß Erfurt,5.05
489,2012,Preußen Münster,5.0
490,2012,Darmstadt 98,4.7
491,2012,W. Burghausen,4.65
492,2012,Saarbrücken,4.58
493,2012,Babelsberg 03,4.33
494,2012,Unterhaching,4.18
495,2012,Stuttg. Kickers,2.5
496,2013,Stuttgart II,11.7
497,2013,B. Dortmund II,11.45
498,2013,Saarbrücken,9.03
499,2013,RB Leipzig,8.3
500,2013,1.FC Heidenheim,7.23
501,2013,VfL Osnabrück,6.8
502,2013,Chemnitzer FC,6.8
503,2013,Preußen Münster,6.45
504,2013,Wehen Wiesbaden,6.4
505,2013,MSV Duisburg,6.15
506,2013,Hallescher FC,6.0
507,2013,Holstein Kiel,5.2
508,2013,Stuttg. Kickers,4.95
